사업자번호,최종평판점수,일반 평판 환산 점수,미래 평판 환산 점수,사회적 책임 환산 점수,대중 평판 점수,고용 평판 점수,신용 평판 점수,기업 프로파일 점수,사업계획 점수,경제적 책임 점수,법률적 책임 점수,윤리적 책임 점수,자선적 책임 점수,
6815,58.9,52.83018868,63.54166667,92.33576642,65,50,30,80,50,100,100,100,55,
6816,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6230,57.65,60,53.125,73.72262774,60,74,30,60,50,60,100,100,50,
8306,55.85,42.64150943,73.95833333,91.24087591,60,38,20,100,50,100,100,100,50,
7504,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
6233,57.05,58.86792453,53.125,73.72262774,55,86,20,60,50,60,100,100,50,
7503,48.275,47.16981132,50.52083333,59.48905109,50,50,30,55,50,50,80,70,55,
6237,57.75,50.94339623,63.54166667,91.24087591,50,50,40,80,50,100,100,100,50,
5331,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
9281,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
8314,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8952,50.625,49.05660377,50.52083333,69.34306569,55,50,30,55,50,50,100,100,50,
5024,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
7508,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7148,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
7150,57.75,50.94339623,63.54166667,91.24087591,50,50,40,80,50,100,100,100,50,
7144,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
7151,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7856,49.75,35.8490566,63.54166667,91.24087591,40,50,10,80,50,100,100,100,50,
7143,50.875,47.16981132,55.72916667,69.34306569,50,50,30,55,60,50,100,100,50,
7511,50.875,47.16981132,55.72916667,69.34306569,50,50,30,55,60,50,100,100,50,
688,57.5,55.09433962,58.33333333,82.48175182,65,66,20,70,50,80,100,100,50,
7524,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
9290,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8331,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
4471,54.15,41.88679245,63.54166667,100,50,36,30,80,50,100,90,100,100,
